         159182 function calls (157335 primitive calls) in 0.669 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      113    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:112(__init__)
      801    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2227(__bool__)
        2    0.000    0.000    0.244    0.122 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_sync/http11.py:65(handle_request)
      136    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:166(encoding)
      140    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:947(__init__)
       51    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      656    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
      293    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/typing_extensions.py:165(_should_collect_from_parameters)
        1    0.000    0.000    0.030    0.030 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/anyio/__init__.py:1(<module>)
   105/57    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       20    0.000    0.000    0.005    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:267(_remove_dups_flatten)
      293    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/typing_extensions.py:3411(_is_unpacked_typevartuple)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        2    0.000    0.000    0.517    0.258 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_client.py:1001(_send_single_request)
      847    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      826    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      137    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      813    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      126    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_urlparse.py:223(<genexpr>)
       26    0.000    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_connection.py:438(next_event)
     14/7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
  129/126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
  119/118    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      116    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_models.py:19(enforce_bytes)
        1    0.000    0.000    0.107    0.107 /usr/lib/python3.10/ssl.py:1014(_create)
      493    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1031(__eq__)
      401    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:801(__init__)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:527(_init_fn)
    24/22    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_readers.py:156(__call__)
       18    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:378(__init__)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:222(<setcomp>)
        2    0.000    0.000    0.514    0.257 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_transports/default.py:230(handle_request)
       40    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
      267    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:137(_type_convert)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:473(urlsplit)
       82    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:91(_replace_charref)
       60    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/typing_extensions.py:3296(_check_generic)
        3    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_urlparse.py:213(urlparse)
      310    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/stringprep.py:1(<module>)
       11    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:144(__init__)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       12    0.000    0.000    0.241    0.020 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
      230    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    164/3    0.000    0.000    0.050    0.017 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       34    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1138(__getitem__)
       93    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:470(__setattr__)
        4    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:270(_assign_requests_to_connections)
        1    0.000    0.000    0.669    0.669 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/./financial_enhanced.py:8(get_field_data)
      106    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:824(_set_new_attribute)
       70    0.000    0.000    0.001    0.000 /usr/lib/python3.10/enum.py:359(__call__)
  275/161    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1037(__hash__)
    28/19    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:485(_get_literal_prefix)
      180    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:287(tell)
       20    0.000    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       45    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:393(__setitem__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:328(namedtuple)
       66    0.000    0.000    0.001    0.000 /usr/lib/python3.10/abc.py:105(__new__)
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:265(_compile_charset)
      110    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/subprocess.py:1(<module>)
       51    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_util.py:84(validate)
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       12    0.000    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:884(iter_bytes)
        1    0.000    0.000    0.010    0.010 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/anyio/abc/__init__.py:1(<module>)
      379    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1022(<genexpr>)
      221    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:161(__len__)
       26    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_connection.py:410(_extract_next_receive_event)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/events.py:204(AbstractEventLoop)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_readers.py:94(maybe_read_from_SEND_RESPONSE_server)
       15    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:284(__getitem__)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:146(update_abstractmethods)
       57    0.000    0.000    0.000    0.000 /usr/lib/python3.10/contextlib.py:279(helper)
      510    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.514    0.257 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
       20    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_state.py:316(_fire_state_triggered_transitions)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2280(_signature_from_function)
    61/50    0.000    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
  335/190    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        4    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:237(<listcomp>)
       16    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_connection.py:320(_get_io_object)
        4    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpx/_models.py:1270(info)
      112    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:817(_set_qualname)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/unix_events.py:1326(ThreadedChildWatcher)
      295    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:587(_repr_fn)
      281    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:424(<genexpr>)
