         98025 function calls (97931 primitive calls) in 0.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:991(update)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/_policybase.py:301(header_source_parse)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:359(__call__)
      2/1    0.000    0.000    0.530    0.530 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/sessions.py:673(send)
      110    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.113    0.113 /usr/lib/python3.10/ssl.py:1014(_create)
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:123(_coerce_args)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       13    0.000    0.000    0.239    0.018 /usr/lib/python3.10/socket.py:691(readinto)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:78(readline)
       25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:288(_compile)
      3/2    0.000    0.000    0.129    0.064 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/sessions.py:159(resolve_redirects)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:462(get)
        3    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.240    0.120 /usr/lib/python3.10/http/client.py:311(begin)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:497(get_all)
       18    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:378(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/cookiejar.py:1604(make_cookies)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.10/socket.py:730(readable)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:1083(putrequest)
        1    0.000    0.000    0.596    0.596 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/./financial.py:9(get_field_data)
        4    0.000    0.000    0.003    0.001 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:1173(read_chunked)
        2    0.000    0.000    0.523    0.262 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:206(_read_headers)
        2    0.000    0.000    0.523    0.261 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connectionpool.py:377(_make_request)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.10/html/parser.py:122(set_cdata_mode)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:412(_close_conn)
       30    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:257(__getitem__)
  106/104    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.239    0.119 /usr/lib/python3.10/http/client.py:278(_read_status)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:335(extend)
        2    0.000    0.000    0.240    0.120 /usr/lib/python3.10/http/client.py:1331(getresponse)
       31    0.000    0.000    0.239    0.008 {method 'readline' of '_io.BufferedReader' objects}
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:248(_qsize)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:168(hostname)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/socket.py:302(makefile)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.525    0.262 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/adapters.py:613(send)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:209(_hostinfo)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
       24    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:289(__iter__)
        1    0.000    0.000    0.113    0.113 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
