         97985 function calls (97891 primitive calls) in 5.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:248(__init__)
      801    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
       25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/urllib/parse.py:380(urlparse)
        2    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/utils.py:204(get_netrc_auth)
      820    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.558    0.279 /usr/lib/python3.10/http/client.py:278(_read_status)
      891    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       18    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:224(__init__)
       40    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:1239(putheader)
      841    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      2/1    0.000    0.000    0.775    0.775 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/sessions.py:673(send)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:991(update)
        1    0.000    0.000    0.057    0.057 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:209(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:1360(_real_close)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
        2    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:369(request)
        1    0.000    0.000    0.097    0.097 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/connection.py:27(create_connection)
       33    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:547(<listcomp>)
        2    0.000    0.000    0.561    0.280 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:485(getresponse)
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:123(_coerce_args)
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       33    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:524(get_text)
      3/2    0.000    0.000    0.128    0.064 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7866744e0af0}
      801    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2227(__bool__)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/feedparser.py:218(_parsegen)
       25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:288(_compile)
       82    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:91(_replace_charref)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      574    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       18    0.000    0.000    0.005    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2723(find_all)
        3    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       54    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:490(_make_match_rules)
        6    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.109    0.109 /usr/lib/python3.10/ssl.py:1014(_create)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:154(get)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:497(get_all)
       40    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
        2    0.000    0.000    0.769    0.384 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connectionpool.py:592(urlopen)
        4    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:1173(read_chunked)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/_policybase.py:301(header_source_parse)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:168(hostname)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
       29    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:257(__getitem__)
